,price,retail_price,units_sold,uses_ad_boosts,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,countries_shipped_to,urgency_text,merchant_rating_count,merchant_rating
812,14.0,12,10000,1,1271.0,400.0,200.0,69.0,70.0,black,S,50,Livraison standard,3,38,Quantité limitée !,22765,4.238172633428508
1165,14.0,12,10000,1,1464.0,713.0,586.0,309.0,502.0,black,XL,50,Livraison standard,4,32,None,16064,4.2237923306772895
869,7.0,11,20000,0,3140.0,1357.0,1154.0,445.0,414.0,grey,S,5,Livraison standard,2,41,None,43742,4.063965982351059
1386,14.0,139,10000,1,1334.0,348.0,206.0,86.0,133.0,blue,S,50,Livraison standard,4,44,Quantité limitée !,20387,4.1934566145092464
628,14.0,75,10000,0,1375.0,544.0,332.0,122.0,141.0,black,S,50,Livraison standard,4,43,None,27719,4.070637468884159
111,14.0,12,10000,0,1427.0,614.0,452.0,180.0,273.0,blue,5XL,36,Livraison standard,4,26,Quantité limitée !,32858,3.88553776857995
1558,13.0,11,10000,0,1573.0,606.0,399.0,135.0,188.0,black,M,50,Livraison standard,3,36,Quantité limitée !,14502,4.147841677010067
743,13.0,11,10000,1,1223.0,644.0,419.0,178.0,267.0,red,M,48,Livraison standard,3,37,None,16447,4.030461482337205
605,13.0,84,10000,1,1184.0,545.0,329.0,116.0,154.0,black,S,50,Livraison standard,3,41,Quantité limitée !,22173,4.203400532178776
291,13.0,14,10000,0,870.0,366.0,287.0,159.0,256.0,blue,S,50,Livraison standard,3,18,None,5466,3.9410903768752283
878,13.0,84,10000,1,1632.0,531.0,260.0,68.0,101.0,black,S,50,Livraison standard,3,33,None,23719,4.301066655423922
1102,13.0,11,10000,0,572.0,222.0,192.0,99.0,99.0,purple,S,50,Livraison standard,3,52,None,9981,4.308385933273219
686,12.0,16,10000,0,373.0,194.0,213.0,152.0,390.0,red,S,50,Livraison standard,3,18,None,17120,3.8988901869158883
541,12.0,11,10000,0,1950.0,776.0,428.0,184.0,222.0,blue,S,50,Livraison standard,3,30,Quantité limitée !,19521,3.9848368423748783
250,6.0,13,20000,1,572.0,183.0,153.0,62.0,154.0,red,S,50,Livraison standard,2,40,Quantité limitée !,15076,4.084969487927832
127,6.0,6,20000,1,809.0,322.0,238.0,100.0,131.0,green,L,50,Livraison standard,2,33,None,16013,4.1088490601386365
256,6.0,6,20000,0,2138.0,667.0,637.0,255.0,385.0,white,S,50,Livraison standard,2,40,None,45964,3.998651118266469
473,6.0,6,20000,1,1095.0,597.0,464.0,222.0,328.0,black,2XS,49,Livraison standard,2,38,Quantité limitée !,6714,4.0732797140303845
1037,6.0,6,20000,1,1281.0,538.0,365.0,147.0,233.0,blue,L,50,Livraison standard,2,35,None,12974,3.965700632033297
630,6.0,6,20000,1,2620.0,1456.0,1235.0,515.0,683.0,white,M,39,Livraison standard,2,43,None,11740,4.1137989778534925
703,12.0,11,10000,0,431.0,195.0,205.0,146.0,299.0,red,S,15,Livraison standard,3,11,Quantité limitée !,6158,3.794738551477753
492,12.0,13,10000,0,364.0,140.0,157.0,92.0,140.0,white,S,50,ការដឹកជញ្ជូនតាមស្តង់ដារ,3,42,None,117487,4.087737366687378
883,12.0,43,10000,1,303.0,122.0,99.0,35.0,73.0,pink,S,50,Livraison standard,3,42,None,45524,3.9729373517265616
1548,12.0,87,10000,0,1324.0,488.0,294.0,122.0,176.0,white,M,15,Livraison standard,3,40,None,90105,4.2012984851007165
1150,5.88,9,20000,0,3383.0,1430.0,836.0,335.0,466.0,other,2XS,50,Livraison standard,2,55,None,12304,4.319001950585174
1015,5.87,5,20000,1,2090.0,852.0,576.0,278.0,341.0,red,XS,5,Livraison standard,1,18,None,4646,4.118811881188118
1116,5.8,43,20000,1,917.0,426.0,392.0,226.0,446.0,green,S,50,Livraison standard,2,35,None,21210,3.9623762376237615
87,5.78,8,20000,1,2054.0,774.0,576.0,242.0,329.0,pink,XS,50,Standardowa wysyłka,1,29,None,6555,4.184134248665141
1406,5.71,84,20000,0,2011.0,1127.0,849.0,360.0,310.0,blue,XL,50,Livraison standard,2,47,Quantité limitée !,127966,4.197458699967179
1296,5.67,5,20000,0,2867.0,1406.0,1330.0,695.0,944.0,white,OTHER,50,Livraison standard,1,40,Quantité limitée !,839882,4.103759813878616
1067,5.66,5,20000,0,1646.0,564.0,389.0,145.0,183.0,purple,S,14,Livraison standard,2,29,None,8205,4.195856185252895
27,5.65,5,20000,0,1781.0,628.0,374.0,104.0,109.0,white,S,50,Livraison standard,2,43,Quantité limitée !,40943,4.017487726839753
1278,11.0,10,10000,1,981.0,445.0,301.0,141.0,234.0,other,XS,50,Livraison standard,2,39,None,14284,4.025623074768972
1082,11.0,10,10000,0,1089.0,392.0,268.0,126.0,175.0,white,S,50,Livraison standard,2,41,None,21485,4.1462415638817784
1360,11.0,10,10000,0,1056.0,419.0,375.0,190.0,382.0,white,S,50,Livraison standard,3,46,None,78616,4.310432990739798
1477,11.0,10,10000,1,754.0,329.0,219.0,73.0,104.0,black,M,50,Livraison standard,2,45,None,5816,3.936382393397524
757,11.0,10,10000,1,754.0,329.0,219.0,73.0,104.0,black,M,50,Livraison standard,2,45,Quantité limitée !,5816,3.936382393397524
778,11.0,10,10000,1,662.0,328.0,252.0,129.0,175.0,white,L,27,Livraison standard,3,36,None,55499,4.138885385322259
1179,11.0,10,10000,0,745.0,349.0,274.0,145.0,204.0,white,OTHER,50,Livraison standard,3,23,Quantité limitée !,190918,4.235886611005772
706,11.0,11,10000,0,660.0,322.0,231.0,119.0,188.0,black,S,50,Livraison standard,3,60,None,2975,4.1808403361344535
272,11.0,16,10000,1,716.0,284.0,260.0,118.0,208.0,black,XS,50,Livraison standard,2,42,None,120781,4.15239979798147
1537,11.0,12,10000,0,360.0,100.0,91.0,47.0,68.0,grey,S,50,Livraison standard,2,23,None,9325,4.1224664879356565
1271,11.0,10,10000,1,754.0,329.0,219.0,73.0,104.0,black,M,50,Livraison standard,2,45,Quantité limitée !,5816,3.936382393397524
16,11.0,10,10000,0,840.0,435.0,386.0,158.0,239.0,red,L,50,Livraison standard,2,34,None,6302,3.9584258965407813
279,11.0,10,10000,0,1056.0,419.0,375.0,190.0,382.0,white,S,50,Livraison standard,3,46,Quantité limitée !,78616,4.310432990739798
377,11.0,20,10000,0,1352.0,636.0,397.0,185.0,271.0,blue,S,16,Livraison standard,3,41,Quantité limitée !,12371,3.871635276048824
1329,11.0,43,10000,1,219.0,63.0,46.0,25.0,44.0,blue,S,50,Livraison standard,2,43,None,29615,3.9280094546682425
954,11.0,10,10000,0,745.0,349.0,274.0,145.0,204.0,white,OTHER,50,Livraison standard,3,23,None,190918,4.235886611005772
109,11.0,10,10000,0,725.0,376.0,272.0,112.0,209.0,red,XS,50,Livraison standard,3,31,None,13946,4.000143410296859
688,11.0,10,10000,1,1222.0,492.0,345.0,117.0,148.0,other,L,50,Livraison standard,3,35,Quantité limitée !,14095,4.089677190493083
77,11.0,10,10000,0,644.0,183.0,114.0,38.0,66.0,purple,S,50,Livraison standard,3,36,None,9200,4.289673913043479
1402,11.0,10,10000,0,975.0,406.0,210.0,94.0,95.0,black,S,5,Livraison standard,2,72,None,19436,4.109024490635933
1306,11.0,43,10000,0,723.0,505.0,513.0,315.0,465.0,black,M,50,Livraison standard,3,35,None,15502,4.115275448329248
1185,2.0,2,50000,0,4182.0,1317.0,857.0,429.0,790.0,other,OTHER,50,Livraison standard,1,51,None,229199,4.165079254272488
1409,5.0,5,20000,0,4220.0,1795.0,1098.0,351.0,309.0,black,M,9,Livraison standard,1,38,None,10269,4.260005842827929
1203,5.0,7,20000,1,1337.0,495.0,296.0,117.0,164.0,red,S,13,Livraison standard,2,28,None,88193,4.0808907736441675
21,5.0,6,20000,0,1437.0,632.0,610.0,358.0,515.0,black,S,11,Livraison standard,2,41,None,12913,3.981336637497096
1509,5.0,5,20000,0,4166.0,1546.0,1044.0,438.0,559.0,grey,S,50,Livraison standard,2,32,None,43676,4.283611136550967
338,19.0,17,5000,0,559.0,212.0,135.0,77.0,180.0,blue,OTHER,2,Livraison standard,5,27,Quantité limitée !,15173,3.959994727476438
244,19.0,21,5000,0,897.0,289.0,149.0,74.0,152.0,blue,OTHER,1,Livraison standard,6,40,Quantité limitée !,9116,4.092913558578323
682,9.0,8,10000,1,1506.0,654.0,417.0,217.0,307.0,red,S,7,Livraison standard,3,41,None,12004,4.079223592135954
48,9.0,8,10000,0,535.0,289.0,344.0,189.0,426.0,white,S,50,Livraison standard,3,24,Quantité limitée !,10474,3.908535421042582
1153,9.0,8,10000,0,1578.0,562.0,339.0,112.0,158.0,purple,M,50,Livraison standard,3,43,None,36361,3.9675201452105284
888,9.0,14,10000,0,363.0,134.0,71.0,27.0,49.0,purple,M,50,Livraison standard,3,43,None,3972,3.8491943605236663
325,9.0,9,10000,1,822.0,539.0,410.0,169.0,208.0,white,S,50,Livraison standard,3,44,None,246312,4.2037253564584764
800,9.0,8,10000,1,894.0,303.0,224.0,92.0,129.0,beige,M,28,Livraison standard,3,23,Quantité limitée !,12309,4.0451702006661785
1471,9.0,8,10000,0,1491.0,717.0,430.0,178.0,208.0,white,M,50,Livraison standard,3,38,Quantité limitée !,4295,4.208614668218859
840,9.0,17,10000,0,1044.0,526.0,348.0,146.0,189.0,green,S,23,Livraison standard,3,59,None,16091,4.343235348952831
445,9.0,8,10000,1,938.0,384.0,292.0,136.0,232.0,white,M,50,Livraison standard,3,30,None,66644,4.137581777804454
391,9.0,10,10000,0,1511.0,479.0,275.0,115.0,207.0,red,XS,50,Livraison standard,3,31,Quantité limitée !,5808,4.306990358126721
717,9.0,48,10000,1,439.0,171.0,102.0,60.0,68.0,blue,S,50,Livraison standard,3,43,None,42919,4.105967054218412
34,9.0,8,10000,0,555.0,240.0,211.0,87.0,138.0,yellow,S,50,Standart Gönderi,3,45,None,10600,3.8675471698113206
990,9.0,59,10000,0,752.0,368.0,260.0,141.0,200.0,red,S,17,Livraison standard,3,47,None,2888,4.1921745152354575
793,9.0,10,10000,0,1511.0,479.0,275.0,115.0,207.0,red,XS,50,Livraison standard,3,31,None,5808,4.306990358126721
359,18.0,27,5000,1,994.0,449.0,234.0,85.0,141.0,blue,M,50,Livraison standard,5,42,None,15855,4.052917060864081
943,9.0,26,10000,1,892.0,440.0,379.0,168.0,211.0,black,S,50,Livraison standard,3,40,None,839882,4.103759813878616
796,9.0,22,10000,0,891.0,323.0,280.0,161.0,205.0,blue,XS,50,Livraison standard,3,18,None,9177,3.8740329083578513
1008,18.0,27,5000,1,539.0,240.0,132.0,61.0,86.0,blue,S,50,Livraison standard,5,41,None,12348,3.7949465500485915
1101,8.0,11,10000,1,2045.0,648.0,354.0,127.0,171.0,other,S,50,Livraison standard,3,36,Quantité limitée !,20169,4.258515543656107
504,8.0,7,10000,0,1383.0,591.0,342.0,153.0,225.0,blue,S,50,Livraison standard,3,31,None,10258,4.243712224605186
1416,8.0,8,10000,1,777.0,367.0,241.0,112.0,115.0,black,S,50,Livraison standard,3,42,Quantité limitée !,35262,3.9394815949180417
1126,8.0,7,10000,0,1209.0,449.0,277.0,115.0,132.0,pink_grey,XS,50,Livraison standard,2,31,None,10258,4.243712224605186
1130,8.0,7,10000,0,1260.0,582.0,298.0,116.0,140.0,black,S,50,Livraison standard,2,36,None,6329,4.16290093221678
829,8.0,16,10000,0,412.0,187.0,166.0,113.0,289.0,white,S,12,Livraison standard,2,18,None,9177,3.8740329083578513
288,8.0,16,10000,0,770.0,391.0,248.0,77.0,103.0,white,S,9,Livraison standard,2,43,Quantité limitée !,3665,4.194270122783084
257,8.0,7,10000,1,378.0,190.0,143.0,80.0,112.0,pink,S,50,Livraison standard,2,35,None,12974,3.965700632033297
72,8.0,7,10000,0,1220.0,433.0,365.0,203.0,299.0,orange,M,50,Livraison standard,3,14,Quantité limitée !,8821,3.872009976193176
1023,8.0,9,10000,1,223.0,123.0,137.0,84.0,208.0,pink,S,50,Livraison standard,2,43,None,54504,3.80168428005284
68,8.0,7,10000,1,823.0,340.0,250.0,89.0,168.0,yellow,M,50,Livraison standard,3,30,None,66644,4.137581777804454
969,8.0,9,10000,0,456.0,237.0,210.0,141.0,272.0,yellow,XS,50,Livraison standard,2,36,None,1987,3.987921489682939
1247,8.0,140,10000,1,1141.0,329.0,212.0,88.0,140.0,blue,S,50,Livraison standard,3,19,Quantité limitée !,2050,4.1678048780487815
678,8.0,7,10000,0,748.0,417.0,331.0,194.0,316.0,white,XS,50,Standard Shipping,3,31,None,13946,4.000143410296859
1264,8.0,9,10000,0,475.0,148.0,135.0,50.0,95.0,red,S,11,Livraison standard,2,39,Quantité limitée !,24564,3.9288796612929486
197,8.0,7,10000,1,1070.0,460.0,373.0,181.0,357.0,white,S,50,Livraison standard,3,41,None,39381,4.0663264010563465
264,8.0,84,10000,0,2077.0,783.0,446.0,192.0,181.0,black,M,50,Livraison standard,3,37,Quantité limitée !,80713,4.1878136111902675
400,8.0,7,10000,1,884.0,343.0,331.0,184.0,327.0,black,5XL,50,Livraison standard,3,38,Quantité limitée !,12006,3.9012160586373485
509,8.0,56,10000,1,469.0,286.0,252.0,94.0,184.0,black,M,50,Livraison standard,3,36,None,1260,3.795238095238095
1012,8.0,7,10000,0,420.0,176.0,143.0,84.0,128.0,white,XS,50,Livraison standard,2,31,None,4213,4.0583906954664135
811,8.0,7,10000,0,1220.0,433.0,365.0,203.0,299.0,orange,M,50,Livraison standard,3,14,None,8821,3.872009976193176
1353,8.0,7,10000,1,1428.0,555.0,340.0,122.0,159.0,black,S,50,Livraison standard,2,42,Quantité limitée !,13399,4.077095305619824
745,8.0,7,10000,0,705.0,296.0,162.0,79.0,70.0,grey,XS,50,Livraison standard,2,31,Quantité limitée !,7356,4.053017944535074
